Date,Attendance,Quarter,Place in Quarter,Temperature,Humidity,Wind Speed,Precipitation,Skyc1,Skyc2,Skyc3
2015-10-15 18:00:00,98,1,0.2962962962962963,59.00,26.90,21.7,0.00,FEW,M,M
2015-12-28 20:30:00,0,0,0,35.06,95.79,10.3,0.03,OVC,M,M
2015-09-16 22:30:00,0,0,0,71.06,56.93,11.4,0.00,CLR,M,M
2015-10-17 09:00:00,36,1,0.32098765432098764,42.08,42.69,9.1,0.00,FEW,SCT,M
2015-09-15 09:30:00,20,0,0,71.96,55.22,9.1,0.00,FEW,BKN,M
2015-09-06 13:00:00,13,0,0,89.96,45.34,12.5,0.00,FEW,SCT,M
2015-12-13 16:30:00,0,0,0,57.92,96.81,14.8,0.04,SCT,BKN,OVC
2015-09-14 23:00:00,0,0,0,69.98,56.78,12.5,0.00,FEW,M,M
2015-10-20 23:30:00,0,1,0.35802469135802467,57.02,93.08,6.8,0.00,OVC,M,M
2015-11-02 06:30:00,28,1,0.5185185185185185,51.98,76.88,9.1,0.00,SCT,M,M
2015-11-05 12:00:00,61,1,0.5555555555555556,69.08,58.56,23.9,0.00,FEW,SCT,BKN
2015-11-24 18:00:00,106,1,0.7901234567901234,35.96,78.79,11.4,0.00,FEW,M,M
2015-11-07 22:00:00,0,1,0.5802469135802469,35.96,72.66,5.7,0.00,CLR,M,M
2015-11-18 17:30:00,189,1,0.7160493827160493,55.04,63.72,16.0,0.00,BKN,BKN,M
2015-09-23 16:00:00,151,1,0.024691358024691357,75.92,40.16,10.3,0.00,BKN,M,M
2015-12-14 22:00:00,0,0,0,42.98,82.24,10.3,0.00,OVC,M,M
2015-11-06 19:30:00,55,1,0.5679012345679012,46.04,70.64,10.3,0.00,SCT,M,M
2015-09-09 13:00:00,14,0,0,73.94,51.65,8.0,0.00,FEW,BKN,M
2015-10-31 17:00:00,98,1,0.49382716049382713,50.00,96.05,14.8,0.00,BKN,OVC,M
2015-10-14 12:00:00,56,1,0.2839506172839506,57.92,45.58,6.8,0.00,CLR,M,M
2015-10-16 15:30:00,103,1,0.30864197530864196,53.96,33.76,14.8,0.00,SCT,SCT,M
2015-12-27 22:00:00,0,0,0,35.96,64.03,19.4,0.00,OVC,M,M
2015-09-28 14:30:00,115,1,0.08641975308641975,77.00,64.30,10.3,0.00,SCT,BKN,BKN
2015-10-18 13:30:00,63,1,0.3333333333333333,57.92,27.96,4.6,0.00,FEW,M,M
2015-10-01 20:00:00,159,1,0.12345679012345678,55.94,61.67,14.8,0.00,SCT,M,M
