Day of Week,Time,Attendence,Place in Quarter,W1,W2,W3,W4,W5,W6,W7,W8
7,600,Not Crowded,4,0,71.96,84.16,10.3,0.00,FEW,FEW,M
3,800,Not Crowded,4,0,60.98,72.22,9.1,0.00,FEW,OVC,M
7,930,Not Crowded,3,0.1643835616438356,39.92,62.21,19.4,0.00,BKN,OVC,M
2,1600,Moderately Crowded,1,0.4444444444444444,55.94,61.67,18.2,0.02,OVC,M,M
5,1630,Not Crowded,0,0,32.00,53.60,10.3,0.00,OVC,M,M
6,600,Not Crowded,3,0.06756756756756757,30.02,68.81,5.7,0.00,FEW,M,M
5,1630,Pretty Crowded,3,0.24324324324324326,75.92,33.22,11.4,0.00,BKN,M,M
6,1600,Not Crowded,0,0,51.98,56.58,11.4,0.00,FEW,BKN,OVC
7,1300,Not Crowded,0,0,89.96,45.34,12.5,0.00,FEW,SCT,M
1,2300,Not Crowded,0,0,69.98,56.78,12.5,0.00,FEW,M,M
3,800,Not Crowded,0,0,77.00,76.57,4.6,0.00,FEW,M,M
7,1930,Not Crowded,3,0.6486486486486487,78.08,57.87,17.1,0.00,FEW,FEW,SCT
4,2230,Not Crowded,3,0.0273972602739726,44.96,92.72,9.1,0.01,SCT,BKN,OVC
6,1700,Moderately Crowded,1,0.49382716049382713,50.00,96.05,14.8,0.00,BKN,OVC,M
4,700,Moderately Crowded,1,0.9876543209876543,46.94,70.74,18.2,0.00,SCT,OVC,M
7,1600,Moderately Crowded,0,0,82.04,62.53,6.8,0.00,SCT,BKN,BKN
3,1230,Not Crowded,0,0,48.92,86.13,17.1,0.00,BKN,BKN,M
7,630,Not Crowded,3,0.8378378378378378,44.06,85.25,16.0,0.00,OVC,M,M
2,2300,Not Crowded,4,0,66.92,72.81,0.0,0.00,SCT,M,M
6,700,Not Crowded,0,0,19.94,84.33,4.6,0.00,FEW,M,M
6,2330,Not Crowded,0,0,69.98,93.44,0.0,0.07,BKN,OVC,M
4,830,Not Crowded,1,0.9012345679012346,33.98,85.24,9.1,0.00,OVC,M,M
7,600,Not Crowded,0,0,51.08,89.22,0.0,0.00,FEW,BKN,M
3,2330,Not Crowded,3,0.21621621621621623,55.04,29.89,10.3,0.00,OVC,M,M
1,1800,Not Crowded,0,0,42.98,96.60,8.0,0.00,OVC,M,M
5,1530,Moderately Crowded,2,0.6216216216216216,51.08,60.60,34.2,0.00,OVC,M,M
3,1730,Pretty Crowded,2,0.972972972972973,53.96,39.72,26.2,0.00,BKN,BKN,BKN
5,2300,Not Crowded,0,0,37.04,88.57,8.0,0.00,FEW,SCT,M
7,1200,Not Crowded,3,0.36486486486486486,53.06,36.22,17.1,0.00,FEW,M,M
1,1430,Pretty Crowded,2,0.47297297297297297,28.04,74.61,11.4,0.00,BKN,BKN,OVC
5,730,Not Crowded,3,0.7162162162162162,53.96,54.51,9.1,0.00,CLR,M,M
7,1500,Not Crowded,4,0,75.02,53.52,6.8,0.00,FEW,SCT,BKN
3,1730,Pretty Crowded,3,0.8783783783783784,75.02,46.34,8.0,0.00,FEW,SCT,OVC
2,1330,Moderately Crowded,2,0.581081081081081,33.08,69.17,0.0,0.05,BKN,OVC,M
5,1600,Moderately Crowded,2,0.8108108108108109,35.96,56.32,11.4,0.00,SCT,SCT,BKN
7,2200,Not Crowded,3,0.5540540540540541,46.94,92.78,6.8,0.00,OVC,M,M
6,1730,Pretty Crowded,1,0.14814814814814814,48.92,92.84,14.8,0.01,SCT,BKN,OVC
5,1730,Jam Packed Very Crowded,1,0.04938271604938271,68.00,81.29,12.5,0.00,FEW,BKN,M
3,700,Moderately Crowded,0,0,60.08,77.59,6.8,0.00,FEW,OVC,M
4,1130,Moderately Crowded,2,0.9864864864864865,51.08,38.96,21.7,0.00,FEW,FEW,M
6,2300,Not Crowded,1,0.32098765432098764,37.04,69.63,5.7,0.00,CLR,M,M
7,1700,Not Crowded,0,0,46.04,49.19,17.1,0.00,SCT,BKN,OVC
3,1200,Moderately Crowded,1,0.37037037037037035,71.06,54.73,14.8,0.00,FEW,BKN,M
1,2000,Pretty Crowded,2,0.0,28.04,65.47,4.6,0.00,OVC,M,M
7,2000,Not Crowded,0,0,35.96,72.66,12.5,0.00,FEW,OVC,M
6,1000,Not Crowded,0,0,78.08,45.00,18.2,0.00,SCT,M,M
3,1730,Jam Packed Very Crowded,3,0.3013698630136986,68.00,52.51,11.4,0.00,SCT,BKN,BKN
4,1800,Pretty Crowded,3,0.22972972972972974,59.00,55.24,5.7,0.00,SCT,M,M
2,2230,Not Crowded,0,0,69.08,89.98,5.7,0.00,OVC,M,M
6,1400,Not Crowded,0,0,30.02,46.59,16.0,0.00,FEW,FEW,M
4,1830,Pretty Crowded,3,0.32432432432432434,48.02,40.22,9.1,0.00,CLR,M,M
4,2000,Not Crowded,4,0,64.04,74.94,6.8,0.00,FEW,SCT,M
2,830,Not Crowded,3,0.10810810810810811,39.02,85.55,13.7,0.00,OVC,M,M
6,630,Not Crowded,4,0,62.96,80.93,3.4,0.00,CLR,M,M
1,1830,Not Crowded,3,0.5675675675675675,62.96,58.12,19.4,0.00,SCT,BKN,M
2,1130,Moderately Crowded,3,0.0958904109589041,37.94,35.33,8.0,0.00,FEW,M,M
1,1900,Not Crowded,0,0,82.04,60.25,4.6,0.00,FEW,SCT,SCT
4,1100,Moderately Crowded,2,0.8918918918918919,50.00,60.89,3.4,0.00,FEW,OVC,M
4,1330,Not Crowded,3,0.7972972972972973,82.04,40.84,12.5,0.00,FEW,SCT,M
5,1630,Pretty Crowded,3,0.3287671232876712,50.00,63.08,16.0,0.00,CLR,M,M
1,2300,Not Crowded,3,0.0821917808219178,30.02,63.24,5.7,0.00,BKN,M,M
4,2200,Not Crowded,2,0.9864864864864865,44.06,55.02,8.0,0.00,FEW,M,M
7,1300,Moderately Crowded,1,0.24691358024691357,77.00,41.69,17.1,0.00,FEW,M,M
4,2200,Moderately Crowded,1,0.2962962962962963,48.92,49.64,8.0,0.00,CLR,M,M
1,1430,Moderately Crowded,3,0.28378378378378377,46.04,70.64,19.4,0.00,OVC,M,M
1,1700,Moderately Crowded,4,0,82.04,76.53,16.0,0.00,FEW,FEW,BKN
5,2130,Not Crowded,1,0.48148148148148145,48.92,68.51,10.3,0.00,BKN,OVC,M
6,630,Not Crowded,2,0.918918918918919,35.96,92.43,0.0,0.00,BKN,OVC,M
1,2200,Not Crowded,3,0.7567567567567568,71.06,63.18,4.6,0.00,FEW,M,M
7,1230,Not Crowded,1,0.6790123456790124,62.96,32.55,16.0,0.00,FEW,M,M
3,1430,Not Crowded,3,0.21621621621621623,60.98,32.00,12.5,0.00,BKN,BKN,M
3,1030,Not Crowded,4,0,64.94,67.57,5.7,0.00,OVC,M,M
6,2230,Not Crowded,4,0,60.98,72.22,0.0,0.00,CLR,M,M
3,2330,Not Crowded,3,0.5945945945945946,42.08,64.35,6.8,0.00,FEW,M,M
2,2230,Not Crowded,2,0.4864864864864865,14.00,70.19,12.5,0.01,BKN,BKN,OVC
6,930,Moderately Crowded,3,0.25675675675675674,55.94,52.91,14.8,0.00,FEW,BKN,M
2,1400,Not Crowded,4,0,66.92,48.60,16.0,0.00,FEW,BKN,M
1,930,Not Crowded,1,0.7777777777777778,30.92,78.35,9.1,0.00,SCT,M,M
4,800,Not Crowded,1,0.5555555555555556,62.96,80.93,9.1,0.00,OVC,M,M
6,2000,Not Crowded,2,0.7297297297297297,46.94,63.13,20.5,0.00,FEW,M,M
2,1400,Pretty Crowded,1,0.8765432098765432,42.08,62.04,14.8,0.00,BKN,M,M
6,1100,Moderately Crowded,1,0.9259259259259259,41.00,67.09,6.8,0.00,FEW,SCT,M
1,1300,Moderately Crowded,1,0.8641975308641975,42.98,73.39,13.7,0.00,FEW,OVC,M
5,1500,Jam Packed Very Crowded,1,0.04938271604938271,69.98,68.13,12.5,0.00,FEW,SCT,BKN
7,1300,Moderately Crowded,3,0.17567567567567569,66.92,30.68,14.8,0.00,FEW,BKN,M
4,1230,Not Crowded,0,0,82.94,52.93,16.0,0.00,FEW,SCT,SCT
6,730,Not Crowded,2,0.8243243243243243,33.98,88.42,5.7,0.00,OVC,M,M
5,900,Not Crowded,4,0,68.00,65.31,4.6,0.00,BKN,BKN,M
5,1630,Pretty Crowded,1,0.13580246913580246,57.92,57.42,18.2,0.00,FEW,SCT,BKN
3,1230,Not Crowded,0,0,66.92,75.69,3.4,0.00,FEW,BKN,OVC
1,1300,Not Crowded,3,0.5675675675675675,68.00,75.78,16.0,0.00,BKN,OVC,M
7,1200,Not Crowded,0,0,66.92,41.81,11.4,0.00,BKN,M,M
7,1930,Not Crowded,3,0.2702702702702703,51.98,92.93,10.3,0.05,BKN,OVC,M
4,1300,Moderately Crowded,3,0.3150684931506849,69.08,43.61,10.3,0.00,SCT,OVC,M
3,900,Not Crowded,0,0,68.00,65.31,10.3,0.00,FEW,BKN,M
4,830,Not Crowded,4,0,60.08,80.19,11.4,0.00,OVC,M,M
1,2230,Not Crowded,3,0.47297297297297297,55.94,48.95,6.8,0.00,OVC,M,M
1,2200,Not Crowded,3,0.5675675675675675,53.06,60.87,16.0,0.00,OVC,M,M
6,1330,Not Crowded,3,0.918918918918919,69.98,51.07,12.5,0.00,FEW,SCT,M
3,600,Moderately Crowded,3,0.6891891891891891,42.08,64.35,3.4,0.00,BKN,M,M
1,630,Pretty Crowded,3,0.5675675675675675,59.00,89.57,10.3,0.00,FEW,BKN,OVC
3,930,Not Crowded,4,0,78.08,45.00,0.0,0.00,FEW,FEW,BKN
4,1600,Pretty Crowded,1,0.12345679012345678,57.02,57.29,23.9,0.00,BKN,M,M
1,2030,Pretty Crowded,3,0.0945945945945946,41.00,75.88,12.5,0.00,BKN,OVC,M
1,1000,Not Crowded,2,0.3783783783783784,37.94,78.96,3.4,0.00,SCT,SCT,M
3,1030,Not Crowded,1,0.5432098765432098,60.98,89.65,6.8,0.00,BKN,M,M
6,630,Not Crowded,3,0.0547945205479452,32.00,69.04,11.4,0.00,SCT,BKN,BKN
7,1600,Moderately Crowded,3,0.4594594594594595,77.00,33.39,11.4,0.00,FEW,BKN,OVC
7,600,Not Crowded,3,0.9324324324324325,66.92,72.81,13.7,0.00,FEW,BKN,BKN
1,1630,Pretty Crowded,2,0.6621621621621622,39.92,57.33,9.1,0.00,OVC,M,M
3,1930,Not Crowded,0,0,82.94,56.72,4.6,0.00,FEW,BKN,M
1,1800,Pretty Crowded,1,0.691358024691358,46.94,89.65,16.0,0.00,OVC,M,M
5,2100,Not Crowded,4,0,78.98,73.97,4.6,0.00,FEW,FEW,SCT
2,1230,Not Crowded,0,0,30.92,81.95,14.8,0.00,OVC,M,M
4,1530,Moderately Crowded,1,0.4691358024691358,46.04,73.18,14.8,0.00,BKN,OVC,M
7,1400,Moderately Crowded,3,0.2702702702702703,60.98,42.33,11.4,0.00,SCT,BKN,OVC
2,2230,Not Crowded,1,0.5308641975308642,51.08,100.00,5.7,0.00,FEW,M,M
6,700,Not Crowded,0,0,57.92,86.63,12.5,0.00,FEW,SCT,OVC
5,700,Not Crowded,1,0.7407407407407407,33.08,53.36,11.4,0.00,FEW,M,M
4,900,Moderately Crowded,3,0.1232876712328767,37.94,75.58,16.0,0.05,FEW,BKN,BKN
2,1400,Not Crowded,3,0.1917808219178082,46.04,45.33,13.7,0.00,FEW,M,M
5,1800,Moderately Crowded,2,0.14864864864864866,32.00,88.32,19.4,0.00,OVC,M,M
6,2330,Not Crowded,1,0.9259259259259259,33.08,95.75,8.0,0.00,BKN,OVC,M
4,700,Not Crowded,3,0.5135135135135135,66.02,69.94,8.0,0.00,SCT,SCT,M
2,1400,Moderately Crowded,2,0.2972972972972973,28.94,74.70,18.2,0.00,BKN,OVC,M
3,1930,Moderately Crowded,4,0,57.02,77.32,10.3,0.00,FEW,BKN,OVC
2,1830,Moderately Crowded,0,0,55.94,50.72,3.4,0.17,FEW,SCT,BKN
2,1430,Moderately Crowded,3,0.3835616438356164,44.96,79.54,18.2,0.00,OVC,M,M
4,1100,Moderately Crowded,3,0.32432432432432434,48.92,28.89,13.7,0.00,FEW,M,M
2,800,Not Crowded,3,0.20270270270270271,55.94,31.41,5.7,0.00,SCT,M,M
3,800,Not Crowded,0,0,55.94,83.69,0.0,0.07,SCT,BKN,OVC
1,2100,Not Crowded,4,0,66.02,93.33,3.4,0.00,FEW,SCT,M
2,730,Not Crowded,3,0.2972972972972973,41.00,61.89,19.4,0.00,FEW,M,M
1,2330,Not Crowded,0,0,42.08,85.13,8.0,0.00,BKN,BKN,M
2,1500,Not Crowded,2,0.7702702702702703,24.08,74.20,21.7,0.00,SCT,BKN,OVC
7,1100,Not Crowded,0,0,82.04,54.50,6.8,0.00,FEW,BKN,M
4,1600,Moderately Crowded,1,0.38271604938271603,59.00,47.39,9.1,0.00,FEW,SCT,BKN
2,1330,Not Crowded,0,0,41.00,73.19,6.8,0.00,OVC,M,M
5,1000,Moderately Crowded,3,0.7162162162162162,60.98,33.42,10.3,0.00,FEW,M,M
7,1700,Not Crowded,0,0,41.00,50.63,5.7,0.00,SCT,SCT,M
2,2330,Not Crowded,1,0.6172839506172839,42.08,64.35,5.7,0.00,FEW,M,M
7,2030,Not Crowded,4,0,73.94,61.92,6.8,0.00,CLR,M,M
7,1300,Moderately Crowded,1,0.3333333333333333,57.92,27.96,4.6,0.00,FEW,M,M
2,830,Not Crowded,0,0,66.92,58.65,12.5,0.00,BKN,M,M
6,2200,Not Crowded,1,0.6666666666666666,50.00,53.92,9.1,0.00,CLR,M,M
6,600,Not Crowded,2,0.6351351351351351,46.94,45.48,18.2,0.00,FEW,M,M
4,1300,Not Crowded,0,0,73.04,47.59,5.7,0.00,SCT,M,M
4,2100,Not Crowded,4,0,71.06,63.18,5.7,0.00,FEW,M,M
1,1100,Moderately Crowded,3,0.9459459459459459,80.06,52.19,14.8,0.00,FEW,SCT,SCT
7,1800,Not Crowded,0,0,71.96,53.08,12.5,0.00,SCT,M,M
6,1430,Pretty Crowded,2,0.25675675675675674,32.00,58.37,8.0,0.00,BKN,BKN,M
7,1400,Not Crowded,4,0,78.08,73.88,11.4,0.12,FEW,SCT,BKN
3,1630,Pretty Crowded,1,0.37037037037037035,75.02,51.47,14.8,0.02,FEW,FEW,SCT
5,1600,Jam Packed Very Crowded,1,0.04938271604938271,69.98,70.81,11.4,0.00,FEW,BKN,M
3,2100,Moderately Crowded,2,0.21621621621621623,19.04,76.66,5.7,0.00,BKN,OVC,M
1,1500,Not Crowded,0,0,33.08,91.66,25.1,0.20,OVC,M,M
1,2130,Not Crowded,4,0,75.92,68.78,6.8,0.00,SCT,BKN,M
1,930,Not Crowded,0,0,66.02,58.53,14.8,0.00,FEW,M,M
2,1230,Moderately Crowded,2,0.6756756756756757,44.96,39.72,6.8,0.00,FEW,BKN,M
5,1930,Not Crowded,0,0,30.02,68.81,11.4,0.00,FEW,FEW,M
3,1530,Not Crowded,4,0,77.00,50.11,5.7,0.00,SCT,SCT,OVC
2,1830,Pretty Crowded,1,0.09876543209876543,57.02,71.81,18.2,0.00,FEW,FEW,SCT
3,1330,Moderately Crowded,3,0.0136986301369863,59.00,51.18,23.9,0.00,SCT,BKN,OVC
5,1330,Moderately Crowded,2,0.527027027027027,19.94,51.68,23.9,0.00,BKN,M,M
3,730,Not Crowded,3,0.0136986301369863,46.04,57.78,10.3,0.00,BKN,BKN,OVC
4,2130,Not Crowded,4,0,62.96,90.31,9.1,0.00,BKN,OVC,M
1,1600,Pretty Crowded,3,0.1891891891891892,64.94,25.68,18.2,0.00,FEW,BKN,BKN
4,700,Not Crowded,3,0.1232876712328767,35.06,88.47,17.1,0.01,SCT,BKN,OVC
3,1030,Moderately Crowded,1,0.4567901234567901,55.04,93.02,14.8,0.05,BKN,OVC,M
3,2100,Jam Packed Very Crowded,3,0.12162162162162163,41.00,88.76,10.3,0.00,OVC,M,M
4,2330,Not Crowded,3,0.7027027027027027,59.00,45.43,5.7,0.00,CLR,M,M
4,1830,Pretty Crowded,3,0.04054054054054054,60.98,44.16,4.6,0.00,FEW,SCT,BKN
5,1130,Pretty Crowded,3,0.527027027027027,75.02,68.69,6.8,0.00,FEW,SCT,BKN
6,2200,Not Crowded,3,0.918918918918919,57.92,64.52,5.7,0.00,BKN,M,M
6,1430,Not Crowded,0,0,89.96,50.39,3.4,0.00,SCT,SCT,BKN
3,2100,Moderately Crowded,1,0.8888888888888888,30.92,78.35,10.3,0.00,FEW,M,M
2,1130,Not Crowded,0,0,53.06,46.46,17.1,0.00,BKN,OVC,M
7,900,Not Crowded,4,0,78.08,68.59,3.4,0.00,BKN,BKN,M
6,1430,Moderately Crowded,3,0.1506849315068493,37.04,30.69,4.6,0.00,FEW,FEW,M
3,2100,Not Crowded,4,0,68.00,75.78,5.7,0.00,CLR,M,M
6,1100,Not Crowded,0,0,41.00,92.59,8.0,0.07,OVC,M,M
1,1000,Not Crowded,0,0,50.00,86.19,14.8,0.00,FEW,BKN,OVC
1,1430,Moderately Crowded,1,0.345679012345679,69.98,27.62,19.4,0.00,FEW,BKN,M
3,1200,Not Crowded,1,0.8024691358024691,46.04,62.56,19.4,0.00,BKN,BKN,M
2,1930,Not Crowded,0,0,62.96,70.07,8.0,0.00,OVC,M,M
3,1030,Moderately Crowded,2,0.8783783783783784,62.06,83.54,12.5,0.00,FEW,OVC,M
4,1300,Moderately Crowded,3,0.410958904109589,48.02,76.53,10.3,0.00,OVC,M,M
7,2100,Not Crowded,2,0.08108108108108109,3.02,71.88,14.8,0.00,FEW,M,M
6,1630,Moderately Crowded,0,0,84.02,58.65,8.0,0.00,FEW,SCT,BKN
1,600,Not Crowded,4,0,69.08,86.66,5.7,0.00,CLR,M,M
6,1930,Moderately Crowded,3,0.16216216216216217,57.02,31.36,6.8,0.00,CLR,M,M
6,800,Moderately Crowded,3,0.6351351351351351,66.92,90.46,9.1,0.00,BKN,BKN,OVC
6,1800,Moderately Crowded,2,0.918918918918919,50.00,76.71,4.6,0.03,OVC,M,M
7,1000,Not Crowded,3,0.3561643835616438,64.04,53.73,10.3,0.00,FEW,SCT,BKN
5,630,Not Crowded,4,0,62.96,90.31,0.0,0.00,SCT,BKN,M
7,1400,Moderately Crowded,0,0,71.96,40.90,4.6,0.00,FEW,FEW,SCT
5,630,Not Crowded,2,0.24324324324324326,23.00,80.71,12.5,0.00,OVC,M,M
6,1600,Not Crowded,0,0,62.96,46.37,12.5,0.00,FEW,FEW,M
1,730,Not Crowded,3,0.273972602739726,62.06,49.55,0.0,0.00,SCT,M,M
2,1730,Jam Packed Very Crowded,1,0.35802469135802467,69.08,35.96,4.6,0.00,FEW,SCT,BKN
5,900,Not Crowded,2,0.527027027027027,19.94,67.58,17.1,0.00,SCT,OVC,M
6,1500,Moderately Crowded,1,0.49382716049382713,48.02,92.81,14.8,0.00,BKN,OVC,M
7,700,Not Crowded,4,0,66.02,62.96,0.0,0.00,FEW,SCT,M
3,1800,Moderately Crowded,4,0,73.94,61.92,9.1,0.00,SCT,BKN,OVC
4,2230,Not Crowded,3,0.13513513513513514,60.08,74.56,28.5,0.00,SCT,BKN,M
7,1430,Not Crowded,1,0.9382716049382716,46.04,62.56,6.8,0.00,SCT,BKN,BKN
2,2330,Not Crowded,3,0.0,42.08,64.35,9.1,0.00,BKN,M,M
7,830,Not Crowded,4,0,71.96,81.57,4.6,0.00,FEW,FEW,BKN
2,2100,Not Crowded,0,0,69.08,92.83,8.0,0.03,SCT,BKN,BKN
7,900,Not Crowded,1,0.41975308641975306,51.98,63.33,3.4,0.00,CLR,M,M
7,2130,Not Crowded,3,0.9324324324324325,73.04,84.22,9.1,0.00,FEW,FEW,BKN
2,1700,Not Crowded,3,0.6756756756756757,50.00,56.30,8.0,0.00,SCT,BKN,M
3,1030,Not Crowded,1,0.9753086419753086,48.02,73.39,10.3,0.00,CLR,M,M
2,1230,Moderately Crowded,1,0.012345679012345678,75.92,41.80,5.7,0.00,FEW,SCT,M
7,2130,Not Crowded,3,0.08108108108108109,39.92,73.08,8.0,0.00,FEW,BKN,M
5,1930,Not Crowded,1,0.9135802469135802,35.06,92.40,8.0,0.00,FEW,M,M
7,730,Not Crowded,2,0.36486486486486486,39.92,92.56,0.0,0.00,OVC,M,M
4,930,Moderately Crowded,2,0.7027027027027027,33.08,63.17,19.4,0.00,FEW,OVC,M
5,1630,Moderately Crowded,4,0,80.06,43.56,10.3,0.00,FEW,SCT,M
7,1700,Moderately Crowded,2,0.36486486486486486,37.94,92.49,11.4,0.00,BKN,OVC,M
2,1130,Not Crowded,0,0,84.92,67.65,6.8,0.00,FEW,FEW,M
5,630,Moderately Crowded,4,0,71.96,78.57,8.0,0.00,FEW,OVC,M
6,2330,Not Crowded,0,0,41.00,75.88,4.6,0.00,FEW,BKN,M
3,600,Not Crowded,2,0.3108108108108108,26.06,68.33,6.8,0.00,OVC,M,M
4,930,Not Crowded,4,0,78.98,48.48,13.7,0.00,CLR,M,M
4,1000,Not Crowded,3,0.22972972972972974,48.92,68.51,3.4,0.00,BKN,OVC,M
3,800,Not Crowded,3,0.5,53.06,100.00,0.0,0.00,VV ,M,M
6,2300,Not Crowded,3,0.16216216216216217,51.98,44.31,10.3,0.00,CLR,M,M
1,900,Not Crowded,4,0,75.92,84.92,5.7,0.00,SCT,BKN,OVC
3,1930,Not Crowded,1,0.8024691358024691,48.92,65.67,22.8,0.00,OVC,M,M
1,1400,Not Crowded,2,0.9459459459459459,51.98,76.88,0.0,0.00,OVC,M,M
5,2000,Not Crowded,0,0,24.98,84.67,6.8,0.00,SCT,M,M
7,1030,Moderately Crowded,0,0,66.92,56.73,M,0.00,SCT,SCT,BKN
1,1100,Not Crowded,0,0,42.98,39.38,4.6,0.00,FEW,FEW,SCT
5,1200,Moderately Crowded,2,0.14864864864864866,37.04,78.31,10.3,0.00,FEW,BKN,OVC
3,2230,Not Crowded,1,0.024691358024691357,64.94,75.51,0.0,0.00,FEW,M,M
1,930,Not Crowded,1,0.43209876543209874,53.06,66.17,4.6,0.00,FEW,M,M
5,1100,Not Crowded,3,0.8108108108108109,71.06,84.10,9.1,0.17,FEW,SCT,BKN
7,930,Not Crowded,0,0,53.06,63.47,4.6,0.00,SCT,BKN,M
7,2100,Not Crowded,1,0.24691358024691357,68.00,46.83,13.7,0.00,CLR,M,M
1,1830,Pretty Crowded,4,0,78.98,71.72,10.3,0.00,FEW,SCT,BKN
4,1400,Moderately Crowded,1,0.2962962962962963,68.00,30.64,14.8,0.00,FEW,SCT,M
2,2200,Not Crowded,1,0.8765432098765432,39.02,79.05,9.1,0.00,SCT,OVC,M
1,1400,Not Crowded,3,0.7567567567567568,75.02,61.66,19.4,0.00,SCT,BKN,BKN
6,2000,Not Crowded,0,0,71.96,78.57,9.1,0.00,FEW,FEW,OVC
5,730,Not Crowded,4,0,69.98,61.02,9.1,0.00,FEW,FEW,M
6,1930,Not Crowded,3,0.4383561643835616,44.60,93.35,17.1,M,OVC,M,M
5,1700,Moderately Crowded,4,0,80.06,45.30,10.3,0.00,BKN,BKN,BKN
2,2330,Not Crowded,1,0.4444444444444444,51.08,96.07,13.7,0.00,OVC,M,M
1,600,Not Crowded,4,0,69.08,83.98,9.1,0.00,SCT,SCT,SCT
5,2030,Not Crowded,0,0,68.00,96.34,9.1,0.21,FEW,BKN,OVC
5,1000,Moderately Crowded,2,0.6216216216216216,59.00,57.57,27.4,0.00,FEW,FEW,M
5,1200,Not Crowded,0,0,42.98,59.93,6.8,0.00,FEW,BKN,M
7,1230,Not Crowded,0,0,87.08,51.24,6.8,0.00,SCT,SCT,M
2,2200,Not Crowded,4,0,55.94,69.30,5.7,0.00,BKN,M,M
3,1030,Not Crowded,3,0.40540540540540543,59.00,40.54,6.8,0.00,SCT,M,M
4,2230,Not Crowded,4,0,75.92,68.78,8.0,0.00,BKN,BKN,M
7,730,Not Crowded,1,0.9382716049382716,28.04,100.00,5.7,0.00,FEW,M,M
3,1700,Moderately Crowded,0,0,73.94,38.26,8.0,0.00,FEW,M,M
5,1700,Jam Packed Very Crowded,2,0.33783783783783783,32.00,55.72,9.1,0.00,FEW,BKN,M
1,2100,Moderately Crowded,1,0.8641975308641975,42.08,91.98,5.7,0.06,OVC,M,M
3,1530,Moderately Crowded,3,0.5,71.06,61.16,9.1,0.00,FEW,FEW,SCT
1,1230,Not Crowded,0,0,50.00,92.87,10.3,0.04,SCT,OVC,M
7,2000,Not Crowded,0,0,42.98,85.79,13.7,0.00,OVC,M,M
2,1500,Not Crowded,0,0,87.08,60.88,11.4,0.00,FEW,SCT,M
5,1300,Not Crowded,1,0.7407407407407407,39.92,37.38,8.0,0.00,FEW,SCT,OVC
1,1930,Moderately Crowded,2,0.28378378378378377,37.94,92.49,11.4,0.00,OVC,M,M
2,1530,Moderately Crowded,1,0.9629629629629629,44.96,82.38,8.0,0.00,FEW,BKN,OVC
5,2330,Not Crowded,1,0.30864197530864196,39.92,57.33,9.1,0.00,CLR,M,M
4,1230,Moderately Crowded,3,0.7972972972972973,80.96,42.30,10.3,0.00,FEW,BKN,M
2,2030,Not Crowded,3,0.6756756756756757,42.98,64.93,8.0,0.00,BKN,M,M
7,1230,Not Crowded,3,0.08108108108108109,62.06,20.43,14.8,0.00,FEW,SCT,M
5,1030,Not Crowded,0,0,41.00,67.09,9.1,0.00,FEW,SCT,M
5,830,Not Crowded,4,0,75.02,66.13,11.4,0.00,FEW,SCT,BKN
4,1700,Pretty Crowded,2,0.4189189189189189,28.94,60.69,6.8,0.00,BKN,BKN,M
6,1800,Not Crowded,0,0,37.04,72.24,10.3,0.00,FEW,SCT,M
7,2300,Not Crowded,4,0,73.04,84.22,4.6,0.00,OVC,M,M
4,630,Not Crowded,0,0,24.08,80.80,9.1,0.02,OVC,M,M
3,800,Not Crowded,4,0,78.08,81.50,9.1,0.00,FEW,BKN,BKN
4,2030,Pretty Crowded,2,0.6081081081081081,39.02,69.86,17.1,0.00,OVC,M,M
5,1730,Not Crowded,0,0,42.98,62.16,11.4,0.00,FEW,M,M
5,730,Not Crowded,1,0.654320987654321,37.04,69.63,18.2,0.00,FEW,FEW,M
1,2000,Not Crowded,0,0,71.06,93.47,0.0,0.07,BKN,OVC,M
1,1800,Pretty Crowded,2,0.3783783783783784,33.08,88.37,5.7,0.00,FEW,M,M
5,1500,Moderately Crowded,1,0.7407407407407407,37.94,40.39,6.8,0.00,OVC,M,M
4,1700,Jam Packed Very Crowded,3,0.1232876712328767,39.92,62.21,13.7,0.00,SCT,OVC,M
7,1030,Moderately Crowded,1,0.07407407407407407,66.92,84.38,6.8,0.00,SCT,BKN,OVC
5,1000,Not Crowded,2,0.14864864864864866,39.92,89.34,8.0,0.00,OVC,M,M
3,1700,Pretty Crowded,4,0,78.08,41.86,11.4,0.00,FEW,SCT,OVC
6,700,Not Crowded,4,0,75.92,76.48,9.1,0.00,FEW,BKN,M
3,1630,Moderately Crowded,2,0.5945945945945946,28.94,60.69,10.3,0.00,FEW,M,M
1,1600,Moderately Crowded,3,0.3783783783783784,51.08,49.97,17.1,0.00,FEW,SCT,M
6,1930,Not Crowded,4,0,80.96,50.68,12.5,0.00,SCT,BKN,M
6,1500,Pretty Crowded,0,0,69.98,40.59,12.5,0.00,BKN,M,M
2,1030,Not Crowded,4,0,64.04,57.87,19.4,0.00,BKN,OVC,M
4,2030,Not Crowded,3,0.6081081081081081,57.92,80.55,12.5,0.03,FEW,FEW,OVC
5,1430,Not Crowded,0,0,46.04,47.05,0.0,0.00,SCT,BKN,BKN
3,2030,Not Crowded,0,0,57.02,77.32,25.1,0.00,FEW,SCT,BKN
4,1130,Moderately Crowded,1,0.2962962962962963,60.08,49.25,10.3,0.00,BKN,M,M
